id;slug;icone;data
1;icon icon-note;ALTERAR;2017-11-30
2;icon icon-note-beamed;ALTERAR;2017-11-30
3;icon icon-music;ALTERAR;2017-11-30
4;icon icon-search;ALTERAR;2017-11-30
5;icon icon-flashlight;ALTERAR;2017-11-30
6;icon icon-mail;ALTERAR;2017-11-30
7;icon icon-heart;ALTERAR;2017-12-01
8;icon icon-heart-empty;ALTERAR;2017-12-01
9;icon icon-star;ALTERAR;2017-12-01
10;icon icon-star-empty;ALTERAR;2017-12-01
11;icon icon-user;ALTERAR;2017-12-01
12;icon icon-users;ALTERAR;2017-12-01
13;icon icon-user-add;ALTERAR;2017-12-02
14;icon icon-video;ALTERAR;2017-12-02
15;icon icon-picture;ALTERAR;2017-12-02
16;icon icon-camera;ALTERAR;2017-12-02
17;icon icon-layout;ALTERAR;2017-12-02
18;icon icon-menu;ALTERAR;2017-12-02
19;icon icon-check;ALTERAR;2017-12-03
20;icon icon-cancel;ALTERAR;2017-12-03
21;icon icon-cancel-circled;ALTERAR;2017-12-03
22;icon icon-cancel-squared;ALTERAR;2017-12-03
23;icon icon-plus;ALTERAR;2017-12-03
24;icon icon-plus-circled;ALTERAR;2017-12-03
25;icon icon-plus-squared;ALTERAR;2017-12-04
26;icon icon-minus;ALTERAR;2017-12-04
27;icon icon-minus-circled;ALTERAR;2017-12-04
28;icon icon-minus-squared;ALTERAR;2017-12-04
29;icon icon-help;ALTERAR;2017-12-04
30;icon icon-help-circled;ALTERAR;2017-12-04
31;icon icon-info;ALTERAR;2017-12-05
32;icon icon-info-circled;ALTERAR;2017-12-05
33;icon icon-back;ALTERAR;2017-12-05
34;icon icon-home;ALTERAR;2017-12-05
35;icon icon-link;ALTERAR;2017-12-05
36;icon icon-attach;ALTERAR;2017-12-05
37;icon icon-lock;ALTERAR;2017-12-06
38;icon icon-lock-open;ALTERAR;2017-12-06
39;icon icon-eye;ALTERAR;2017-12-06
40;icon icon-tag;ALTERAR;2017-12-06
41;icon icon-bookmark;ALTERAR;2017-12-06
42;icon icon-bookmarks;ALTERAR;2017-12-06
43;icon icon-flag;ALTERAR;2017-12-07
44;icon icon-thumbs-up;ALTERAR;2017-12-07
45;icon icon-thumbs-down;ALTERAR;2017-12-07
46;icon icon-download;ALTERAR;2017-12-07
47;icon icon-upload;ALTERAR;2017-12-07
48;icon icon-upload-cloud;ALTERAR;2017-12-07
49;icon icon-reply;ALTERAR;2017-12-08
50;icon icon-reply-all;ALTERAR;2017-12-08
51;icon icon-forward;ALTERAR;2017-12-08
52;icon icon-quote;ALTERAR;2017-12-08
53;icon icon-code;ALTERAR;2017-12-08
54;icon icon-export;ALTERAR;2017-12-08
55;icon icon-pencil;ALTERAR;2017-12-09
56;icon icon-feather;ALTERAR;2017-12-09
57;icon icon-print;ALTERAR;2017-12-09
58;icon icon-retweet;ALTERAR;2017-12-09
59;icon icon-keyboard;ALTERAR;2017-12-09
60;icon icon-comment;ALTERAR;2017-12-09
61;icon icon-chat;ALTERAR;2017-12-10
62;icon icon-bell;ALTERAR;2017-12-10
63;icon icon-attention;ALTERAR;2017-12-10
64;icon icon-alert;ALTERAR;2017-12-10
65;icon icon-vcard;ALTERAR;2017-12-10
66;icon icon-address;ALTERAR;2017-12-10
67;icon icon-location;ALTERAR;2017-12-11
68;icon icon-map;ALTERAR;2017-12-11
